Dot centers and radii:
1: -6.9282 6.35 1.375
2: -13.8564 2.35 1.375
3: -6.9282 -1.65 1.375
4: -13.8564 -5.65 1.375
5: -6.9282 -9.65 1.375
6: -13.8564 -13.65 1.375
7: -6.9282 -17.65 1.375
8: -13.8564 -21.65 1.375
9: -6.9282 -25.65 1.375
10: -13.8564 -29.65 1.375
11: -6.9282 -33.65 1.375
12: -13.8564 -37.65 1.375
13: -6.9282 -41.65 1.375
14: -13.8564 -45.65 1.375
15: -6.9282 -49.65 1.375
16: -13.8564 -53.65 1.375
17: -6.9282 -57.65 1.375
18: -13.8564 -61.65 1.375
19: -6.9282 -65.65 1.375
20: -13.8564 -69.65 1.375
21: -6.9282 -73.65 1.375
22: -13.8564 -77.65 1.375
23: -6.9282 -81.65 1.375
24: -13.8564 -85.65 1.375
25: -6.9282 -89.65 1.375
26: -13.8564 -93.65 1.375
27: -6.9282 -97.65 1.375
28: -13.8564 -101.65 1.375
29: -6.9282 -105.65 1.375
30: -13.8564 -109.65 1.375
31: -6.9282 -113.65 1.375
32: -13.8564 -117.65 1.375
33: -6.9282 -121.65 1.375
34: -13.8564 -125.65 1.375
35: -6.9282 -129.65 1.375
36: -13.8564 -133.65 1.375
37: -6.9282 -137.65 1.375
38: -13.8564 -141.65 1.375
39: -6.9282 -145.65 1.375
40: -13.8564 -149.65 1.375
41: -6.9282 -153.65 1.375
42: -13.8564 -157.65 1.375
43: -6.9282 -161.65 1.375
44: -13.8564 -165.65 1.375
45: -6.9282 -169.65 1.375
46: -13.8564 -173.65 1.375
47: -6.9282 -177.65 1.375
48: -13.8564 -181.65 1.375
49: -6.9282 -185.65 1.375
50: -13.8564 -189.65 1.375
51: -6.9282 -193.65 1.375
52: -13.8564 -197.65 1.375
53: -6.9282 -201.65 1.375
54: -13.8564 -205.65 1.375
55: -6.9282 -209.65 1.375
56: -13.8564 -213.65 1.375
57: -6.9282 -217.65 1.375
58: -20.7846 14.35 1.375
59: -27.7128 10.35 1.375
60: -20.7846 6.35 1.375
61: -27.7128 2.35 1.375
62: -20.7846 -1.65 1.375
63: -27.7128 -5.65 1.375
64: -20.7846 -9.65 1.375
65: -27.7128 -13.65 1.375
66: -20.7846 -17.65 1.375
67: -27.7128 -21.65 1.375
68: -20.7846 -25.65 1.375
69: -27.7128 -29.65 1.375
70: -20.7846 -33.65 1.375
71: -27.7128 -37.65 1.375
72: -20.7846 -41.65 1.375
73: -27.7128 -45.65 1.375
74: -20.7846 -49.65 1.375
75: -27.7128 -53.65 1.375
76: -20.7846 -57.65 1.375
77: -27.7128 -61.65 1.375
78: -20.7846 -65.65 1.375
79: -27.7128 -69.65 1.375
80: -20.7846 -73.65 1.375
81: -27.7128 -77.65 1.375
82: -20.7846 -81.65 1.375
83: -27.7128 -85.65 1.375
84: -20.7846 -89.65 1.375
85: -27.7128 -93.65 1.375
86: -20.7846 -97.65 1.375
87: -27.7128 -101.65 1.375
88: -20.7846 -105.65 1.375
89: -27.7128 -109.65 1.375
90: -20.7846 -113.65 1.375
91: -27.7128 -117.65 1.375
92: -20.7846 -121.65 1.375
93: -27.7128 -125.65 1.375
94: -20.7846 -129.65 1.375
95: -27.7128 -133.65 1.375
96: -20.7846 -137.65 1.375
97: -27.7128 -141.65 1.375
98: -20.7846 -145.65 1.375
99: -27.7128 -149.65 1.375
100: -20.7846 -153.65 1.375
101: -27.7128 -157.65 1.375
102: -20.7846 -161.65 1.375
103: -27.7128 -165.65 1.375
104: -20.7846 -169.65 1.375
105: -27.7128 -173.65 1.375
106: -20.7846 -177.65 1.375
107: -27.7128 -181.65 1.375
108: -20.7846 -185.65 1.375
109: -27.7128 -189.65 1.375
110: -20.7846 -193.65 1.375
111: -27.7128 -197.65 1.375
112: -20.7846 -201.65 1.375
113: -27.7128 -205.65 1.375
114: -20.7846 -209.65 1.375
115: -34.641 22.35 1.375
116: -41.5692 18.35 1.375
117: -34.641 14.35 1.375
118: -41.5692 10.35 1.375
119: -34.641 6.35 1.375
120: -41.5692 2.35 1.375
121: -34.641 -1.65 1.375
122: -41.5692 -5.65 1.375
123: -34.641 -9.65 1.375
124: -41.5692 -13.65 1.375
125: -34.641 -17.65 1.375
126: -41.5692 -21.65 1.375
127: -34.641 -25.65 1.375
128: -41.5692 -29.65 1.375
129: -34.641 -33.65 1.375
130: -41.5692 -37.65 1.375
131: -34.641 -41.65 1.375
132: -41.5692 -45.65 1.375
133: -34.641 -49.65 1.375
134: -41.5692 -53.65 1.375
135: -34.641 -57.65 1.375
136: -41.5692 -61.65 1.375
137: -34.641 -65.65 1.375
138: -41.5692 -69.65 1.375
139: -34.641 -73.65 1.375
140: -41.5692 -77.65 1.375
141: -34.641 -81.65 1.375
142: -41.5692 -85.65 1.375
143: -34.641 -89.65 1.375
144: -41.5692 -93.65 1.375
145: -34.641 -97.65 1.375
146: -41.5692 -101.65 1.375
147: -34.641 -105.65 1.375
148: -41.5692 -109.65 1.375
149: -34.641 -113.65 1.375
150: -41.5692 -117.65 1.375
151: -34.641 -121.65 1.375
152: -41.5692 -125.65 1.375
153: -34.641 -129.65 1.375
154: -41.5692 -133.65 1.375
155: -34.641 -137.65 1.375
156: -41.5692 -141.65 1.375
157: -34.641 -145.65 1.375
158: -41.5692 -149.65 1.375
159: -34.641 -153.65 1.375
160: -41.5692 -157.65 1.375
161: -34.641 -161.65 1.375
162: -41.5692 -165.65 1.375
163: -34.641 -169.65 1.375
164: -41.5692 -173.65 1.375
165: -34.641 -177.65 1.375
166: -41.5692 -181.65 1.375
167: -34.641 -185.65 1.375
168: -41.5692 -189.65 1.375
169: -34.641 -193.65 1.375
170: -41.5692 -197.65 1.375
171: -34.641 -201.65 1.375
172: -48.4974 30.35 1.375
173: -55.4256 26.35 1.375
174: -48.4974 22.35 1.375
175: -55.4256 18.35 1.375
176: -48.4974 14.35 1.375
177: -55.4256 10.35 1.375
178: -48.4974 6.35 1.375
179: -55.4256 2.35 1.375
180: -48.4974 -1.65 1.375
181: -55.4256 -5.65 1.375
182: -48.4974 -9.65 1.375
183: -55.4256 -13.65 1.375
184: -48.4974 -17.65 1.375
185: -55.4256 -21.65 1.375
186: -48.4974 -25.65 1.375
187: -55.4256 -29.65 1.375
188: -48.4974 -33.65 1.375
189: -55.4256 -37.65 1.375
190: -48.4974 -41.65 1.375
191: -55.4256 -45.65 1.375
192: -48.4974 -49.65 1.375
193: -55.4256 -53.65 1.375
194: -48.4974 -57.65 1.375
195: -55.4256 -61.65 1.375
196: -48.4974 -65.65 1.375
197: -55.4256 -69.65 1.375
198: -48.4974 -73.65 1.375
199: -55.4256 -77.65 1.375
200: -48.4974 -81.65 1.375
201: -55.4256 -85.65 1.375
202: -48.4974 -89.65 1.375
203: -55.4256 -93.65 1.375
204: -48.4974 -97.65 1.375
205: -55.4256 -101.65 1.375
206: -48.4974 -105.65 1.375
207: -55.4256 -109.65 1.375
208: -48.4974 -113.65 1.375
209: -55.4256 -117.65 1.375
210: -48.4974 -121.65 1.375
211: -55.4256 -125.65 1.375
212: -48.4974 -129.65 1.375
213: -55.4256 -133.65 1.375
214: -48.4974 -137.65 1.375
215: -55.4256 -141.65 1.375
216: -48.4974 -145.65 1.375
217: -55.4256 -149.65 1.375
218: -48.4974 -153.65 1.375
219: -55.4256 -157.65 1.375
220: -48.4974 -161.65 1.375
221: -55.4256 -165.65 1.375
222: -48.4974 -169.65 1.375
223: -55.4256 -173.65 1.375
224: -48.4974 -177.65 1.375
225: -55.4256 -181.65 1.375
226: -48.4974 -185.65 1.375
227: -55.4256 -189.65 1.375
228: -48.4974 -193.65 1.375
229: -62.3538 38.35 1.375
230: -69.282 34.35 1.375
231: -62.3538 30.35 1.375
232: -69.282 26.35 1.375
233: -62.3538 22.35 1.375
234: -69.282 18.35 1.375
235: -62.3538 14.35 1.375
236: -69.282 10.35 1.375
237: -62.3538 6.35 1.375
238: -69.282 2.35 1.375
239: -62.3538 -1.65 1.375
240: -69.282 -5.65 1.375
241: -62.3538 -9.65 1.375
242: -69.282 -13.65 1.375
243: -62.3538 -17.65 1.375
244: -69.282 -21.65 1.375
245: -62.3538 -25.65 1.375
246: -69.282 -29.65 1.375
247: -62.3538 -33.65 1.375
248: -69.282 -37.65 1.375
249: -62.3538 -41.65 1.375
250: -69.282 -45.65 1.375
251: -62.3538 -49.65 1.375
252: -69.282 -53.65 1.375
253: -62.3538 -57.65 1.375
254: -69.282 -61.65 1.375
255: -62.3538 -65.65 1.375
256: -69.282 -69.65 1.375
257: -62.3538 -73.65 1.375
258: -69.282 -77.65 1.375
259: -62.3538 -81.65 1.375
260: -69.282 -85.65 1.375
261: -62.3538 -89.65 1.375
262: -69.282 -93.65 1.375
263: -62.3538 -97.65 1.375
264: -69.282 -101.65 1.375
265: -62.3538 -105.65 1.375
266: -69.282 -109.65 1.375
267: -62.3538 -113.65 1.375
268: -69.282 -117.65 1.375
269: -62.3538 -121.65 1.375
270: -69.282 -125.65 1.375
271: -62.3538 -129.65 1.375
272: -69.282 -133.65 1.375
273: -62.3538 -137.65 1.375
274: -69.282 -141.65 1.375
275: -62.3538 -145.65 1.375
276: -69.282 -149.65 1.375
277: -62.3538 -153.65 1.375
278: -69.282 -157.65 1.375
279: -62.3538 -161.65 1.375
280: -69.282 -165.65 1.375
281: -62.3538 -169.65 1.375
282: -69.282 -173.65 1.375
283: -62.3538 -177.65 1.375
284: -69.282 -181.65 1.375
285: -62.3538 -185.65 1.375
286: -76.2102 46.35 1.375
287: -83.1384 42.35 1.375
288: -76.2102 38.35 1.375
289: -83.1384 34.35 1.375
290: -76.2102 30.35 1.375
291: -83.1384 26.35 1.375
292: -76.2102 22.35 1.375
293: -83.1384 18.35 1.375
294: -76.2102 14.35 1.375
295: -83.1384 10.35 1.375
296: -76.2102 6.35 1.375
297: -83.1384 2.35 1.375
298: -76.2102 -1.65 1.375
299: -83.1384 -5.65 1.375
300: -76.2102 -9.65 1.375
301: -83.1384 -13.65 1.375
302: -76.2102 -17.65 1.375
303: -83.1384 -21.65 1.375
304: -76.2102 -25.65 1.375
305: -83.1384 -29.65 1.375
306: -76.2102 -33.65 1.375
307: -83.1384 -37.65 1.375
308: -76.2102 -41.65 1.375
309: -83.1384 -45.65 1.375
310: -76.2102 -49.65 1.375
