Fiber centers:
1: -6.9282 4
2: -13.8564 0
3: -6.9282 -4
4: -13.8564 -8
5: -6.9282 -12
6: -13.8564 -16
7: -6.9282 -20
8: -13.8564 -24
9: -6.9282 -28
10: -13.8564 -32
11: -6.9282 -36
12: -13.8564 -40
13: -6.9282 -44
14: -13.8564 -48
15: -6.9282 -52
16: -13.8564 -56
17: -6.9282 -60
18: -13.8564 -64
19: -6.9282 -68
20: -13.8564 -72
21: -6.9282 -76
22: -13.8564 -80
23: -6.9282 -84
24: -13.8564 -88
25: -6.9282 -92
26: -13.8564 -96
27: -6.9282 -100
28: -13.8564 -104
29: -6.9282 -108
30: -13.8564 -112
31: -6.9282 -116
32: -13.8564 -120
33: -6.9282 -124
34: -13.8564 -128
35: -6.9282 -132
36: -13.8564 -136
37: -6.9282 -140
38: -13.8564 -144
39: -6.9282 -148
40: -13.8564 -152
41: -6.9282 -156
42: -13.8564 -160
43: -6.9282 -164
44: -13.8564 -168
45: -6.9282 -172
46: -13.8564 -176
47: -6.9282 -180
48: -13.8564 -184
49: -6.9282 -188
50: -13.8564 -192
51: -6.9282 -196
52: -13.8564 -200
53: -6.9282 -204
54: -13.8564 -208
55: -6.9282 -212
56: -13.8564 -216
57: -6.9282 -220
58: -20.7846 12
59: -27.7128 8
60: -20.7846 4
61: -27.7128 0
62: -20.7846 -4
63: -27.7128 -8
64: -20.7846 -12
65: -27.7128 -16
66: -20.7846 -20
67: -27.7128 -24
68: -20.7846 -28
69: -27.7128 -32
70: -20.7846 -36
71: -27.7128 -40
72: -20.7846 -44
73: -27.7128 -48
74: -20.7846 -52
75: -27.7128 -56
76: -20.7846 -60
77: -27.7128 -64
78: -20.7846 -68
79: -27.7128 -72
80: -20.7846 -76
81: -27.7128 -80
82: -20.7846 -84
83: -27.7128 -88
84: -20.7846 -92
85: -27.7128 -96
86: -20.7846 -100
87: -27.7128 -104
88: -20.7846 -108
89: -27.7128 -112
90: -20.7846 -116
91: -27.7128 -120
92: -20.7846 -124
93: -27.7128 -128
94: -20.7846 -132
95: -27.7128 -136
96: -20.7846 -140
97: -27.7128 -144
98: -20.7846 -148
99: -27.7128 -152
100: -20.7846 -156
101: -27.7128 -160
102: -20.7846 -164
103: -27.7128 -168
104: -20.7846 -172
105: -27.7128 -176
106: -20.7846 -180
107: -27.7128 -184
108: -20.7846 -188
109: -27.7128 -192
110: -20.7846 -196
111: -27.7128 -200
112: -20.7846 -204
113: -27.7128 -208
114: -20.7846 -212
115: -34.641 20
116: -41.5692 16
117: -34.641 12
118: -41.5692 8
119: -34.641 4
120: -41.5692 0
121: -34.641 -4
122: -41.5692 -8
123: -34.641 -12
124: -41.5692 -16
125: -34.641 -20
126: -41.5692 -24
127: -34.641 -28
128: -41.5692 -32
129: -34.641 -36
130: -41.5692 -40
131: -34.641 -44
132: -41.5692 -48
133: -34.641 -52
134: -41.5692 -56
135: -34.641 -60
136: -41.5692 -64
137: -34.641 -68
138: -41.5692 -72
139: -34.641 -76
140: -41.5692 -80
141: -34.641 -84
142: -41.5692 -88
143: -34.641 -92
144: -41.5692 -96
145: -34.641 -100
146: -41.5692 -104
147: -34.641 -108
148: -41.5692 -112
149: -34.641 -116
150: -41.5692 -120
151: -34.641 -124
152: -41.5692 -128
153: -34.641 -132
154: -41.5692 -136
155: -34.641 -140
156: -41.5692 -144
157: -34.641 -148
158: -41.5692 -152
159: -34.641 -156
160: -41.5692 -160
161: -34.641 -164
162: -41.5692 -168
163: -34.641 -172
164: -41.5692 -176
165: -34.641 -180
166: -41.5692 -184
167: -34.641 -188
168: -41.5692 -192
169: -34.641 -196
170: -41.5692 -200
171: -34.641 -204
172: -48.4974 28
173: -55.4256 24
174: -48.4974 20
175: -55.4256 16
176: -48.4974 12
177: -55.4256 8
178: -48.4974 4
179: -55.4256 0
180: -48.4974 -4
181: -55.4256 -8
182: -48.4974 -12
183: -55.4256 -16
184: -48.4974 -20
185: -55.4256 -24
186: -48.4974 -28
187: -55.4256 -32
188: -48.4974 -36
189: -55.4256 -40
190: -48.4974 -44
191: -55.4256 -48
192: -48.4974 -52
193: -55.4256 -56
194: -48.4974 -60
195: -55.4256 -64
196: -48.4974 -68
197: -55.4256 -72
198: -48.4974 -76
199: -55.4256 -80
200: -48.4974 -84
201: -55.4256 -88
202: -48.4974 -92
203: -55.4256 -96
204: -48.4974 -100
205: -55.4256 -104
206: -48.4974 -108
207: -55.4256 -112
208: -48.4974 -116
209: -55.4256 -120
210: -48.4974 -124
211: -55.4256 -128
212: -48.4974 -132
213: -55.4256 -136
214: -48.4974 -140
215: -55.4256 -144
216: -48.4974 -148
217: -55.4256 -152
218: -48.4974 -156
219: -55.4256 -160
220: -48.4974 -164
221: -55.4256 -168
222: -48.4974 -172
223: -55.4256 -176
224: -48.4974 -180
225: -55.4256 -184
226: -48.4974 -188
227: -55.4256 -192
228: -48.4974 -196
229: -62.3538 36
230: -69.282 32
231: -62.3538 28
232: -69.282 24
233: -62.3538 20
234: -69.282 16
235: -62.3538 12
236: -69.282 8
237: -62.3538 4
238: -69.282 0
239: -62.3538 -4
240: -69.282 -8
241: -62.3538 -12
242: -69.282 -16
243: -62.3538 -20
244: -69.282 -24
245: -62.3538 -28
246: -69.282 -32
247: -62.3538 -36
248: -69.282 -40
249: -62.3538 -44
250: -69.282 -48
251: -62.3538 -52
252: -69.282 -56
253: -62.3538 -60
254: -69.282 -64
255: -62.3538 -68
256: -69.282 -72
257: -62.3538 -76
258: -69.282 -80
259: -62.3538 -84
260: -69.282 -88
261: -62.3538 -92
262: -69.282 -96
263: -62.3538 -100
264: -69.282 -104
265: -62.3538 -108
266: -69.282 -112
267: -62.3538 -116
268: -69.282 -120
269: -62.3538 -124
270: -69.282 -128
271: -62.3538 -132
272: -69.282 -136
273: -62.3538 -140
274: -69.282 -144
275: -62.3538 -148
276: -69.282 -152
277: -62.3538 -156
278: -69.282 -160
279: -62.3538 -164
280: -69.282 -168
281: -62.3538 -172
282: -69.282 -176
283: -62.3538 -180
284: -69.282 -184
285: -62.3538 -188
286: -76.2102 44
287: -83.1384 40
288: -76.2102 36
289: -83.1384 32
290: -76.2102 28
291: -83.1384 24
292: -76.2102 20
293: -83.1384 16
294: -76.2102 12
295: -83.1384 8
296: -76.2102 4
297: -83.1384 0
298: -76.2102 -4
299: -83.1384 -8
300: -76.2102 -12
301: -83.1384 -16
302: -76.2102 -20
303: -83.1384 -24
304: -76.2102 -28
305: -83.1384 -32
306: -76.2102 -36
307: -83.1384 -40
308: -76.2102 -44
309: -83.1384 -48
310: -76.2102 -52
311: -83.1384 -56
312: -76.2102 -60
313: -83.1384 -64
314: -76.2102 -68
315: -83.1384 -72
316: -76.2102 -76
317: -83.1384 -80
318: -76.2102 -84
319: -83.1384 -88
320: -76.2102 -92
321: -83.1384 -96
322: -76.2102 -100
323: -83.1384 -104
324: -76.2102 -108
325: -83.1384 -112
326: -76.2102 -116
327: -83.1384 -120
328: -76.2102 -124
329: -83.1384 -128
330: -76.2102 -132
331: -83.1384 -136
332: -76.2102 -140
333: -83.1384 -144
334: -76.2102 -148
335: -83.1384 -152
336: -76.2102 -156
337: -83.1384 -160
338: -76.2102 -164
339: -83.1384 -168
340: -76.2102 -172
341: -83.1384 -176
342: -76.2102 -180
343: -90.0666 52
344: -96.9948 48
345: -90.0666 44
346: -96.9948 40
